2026-09-12 14:00:17] [Notice]   Loading external interface "MeshCore_Dynamic_Interface.py" from "/home/afi/.reticulum/interfaces"
INFO:meshcore:Serial Connection started
[2026-09-12 14:00:17] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Connected to MeshCore device (serial port=/dev/ttyUSB0 baudrate=115200).
[2026-09-12 14:00:17] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Node identity: 'a' key=343377c464a79a48... [edge (no upstream routing)]
[2026-09-12 14:00:17] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: No radio override configured -- using the node's currently stored radio settings.
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Channel configured: idx=35 name='RNSTunnel'.
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Initial contact fetch OK (7 contact(s) known).
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Contact-update events bound: NEW_CONTACT, CONTACTS, CONTACTS_FULL, PATH_UPDATE, ADVERTISEMENT.
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: DIRECT messaging ENABLED (receive event=CONTACT_MSG_RECV).
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Direct and channel outgoing worker tasks started (independent queues, maxsize=512 each).
[2026-09-12 14:00:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Interface ready -- transport=serial can_route=False allow_direct=True direct_api=True payload_size=80 peer_ttl=86400s auto_reconnect=True(3 attempts) debug_logs=True.
[2026-09-12 14:00:18] [Notice]   Started rnsd version 1.4.2
[2026-09-12 14:00:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: No peers — sending RNSBIND_REQ (attempt 1/3, cap=E)
[2026-09-12 14:00:36] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Bound peer 'b' -> 7bd024b5d082747e... [router]
[2026-09-12 14:00:36] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Peer 'b' -> 7bd024b5d082747e... [router]
[2026-09-12 14:00:58] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Auto-adjusting payload_size from 80 to 88 due to node name length.
[2026-09-12 14:00:58] [Info]     [PERF 0] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:00:58] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:00:58] [Info]     [PERF 0] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:00:58] [Info]     [PERF 0] DEQUEUE(channel) priority=1 queue_wait=0.001s depth=0
[2026-09-12 14:00:59] [Info]     [PERF 1] OUT size=230 ptype=1 broadcast=True
[2026-09-12 14:00:59] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:00:59] [Info]     [PERF 1] QUEUE(channel) priority=1 depth=1
[2026-09-12 14:00:59] [Info]     [PERF 1] QUEUE(channel) priority=1 depth=2
[2026-09-12 14:00:59] [Info]     [PERF 1] QUEUE(channel) priority=1 depth=3
[2026-09-12 14:00:59] [Info]     [PERF 2] OUT size=192 ptype=1 broadcast=True
[2026-09-12 14:00:59] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:00:59] [Info]     [PERF 2] QUEUE(channel) priority=1 depth=4
[2026-09-12 14:00:59] [Info]     [PERF 2] QUEUE(channel) priority=1 depth=5
[2026-09-12 14:00:59] [Info]     [PERF 2] QUEUE(channel) priority=1 depth=6
[2026-09-12 14:01:00] [Info]     [PERF 1] DEQUEUE(channel) priority=1 queue_wait=1.550s depth=5
[2026-09-12 14:01:03] [Info]     [PERF 1] DEQUEUE(channel) priority=1 queue_wait=4.075s depth=4
[2026-09-12 14:01:05] [Info]     [PERF 1] DEQUEUE(channel) priority=1 queue_wait=6.599s depth=3
[2026-09-12 14:01:07] [Info]     [PERF 3] OUT size=230 ptype=1 broadcast=True
[2026-09-12 14:01:07] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:07] [Info]     [PERF 3] QUEUE(channel) priority=1 depth=4
[2026-09-12 14:01:07] [Info]     [PERF 3] QUEUE(channel) priority=1 depth=5
[2026-09-12 14:01:07] [Info]     [PERF 3] QUEUE(channel) priority=1 depth=6
[2026-09-12 14:01:07] [Info]     [PERF 4] OUT size=192 ptype=1 broadcast=True
[2026-09-12 14:01:07] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:07] [Info]     [PERF 4] QUEUE(channel) priority=1 depth=7
[2026-09-12 14:01:07] [Info]     [PERF 4] QUEUE(channel) priority=1 depth=8
[2026-09-12 14:01:07] [Info]     [PERF 4] QUEUE(channel) priority=1 depth=9
[2026-09-12 14:01:08] [Info]     [PERF 2] DEQUEUE(channel) priority=1 queue_wait=9.116s depth=8
[2026-09-12 14:01:10] [Info]     [PERF 2] DEQUEUE(channel) priority=1 queue_wait=11.642s depth=7
[2026-09-12 14:01:13] [Info]     [PERF 2] DEQUEUE(channel) priority=1 queue_wait=14.166s depth=6
[2026-09-12 14:01:15] [Info]     [PERF 3] DEQUEUE(channel) priority=1 queue_wait=8.664s depth=5
[2026-09-12 14:01:16] [Info]     [PERF 5] OUT size=51 ptype=0 broadcast=True
[2026-09-12 14:01:16] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:16] [Info]     [PERF 5] QUEUE(channel) priority=1 depth=6
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=60s -- TX: 946B total, 41bps (10s avg), peak 1 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 8
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=3): avg=6936ms min=18ms max=14176ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: b=1 -- local mesh utilization: not yet available
[2026-09-12 14:01:18] [Info]     [PERF 6] OUT size=202 ptype=1 broadcast=True
[2026-09-12 14:01:18] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Routing -> CHANNEL. Reason: Mandatory broadcast packet (e.g., Announce)
[2026-09-12 14:01:18] [Info]     [PERF 6] QUEUE(channel) priority=1 depth=7
