rnsd
[2026-09-12 12:45:22] [Notice]   Loading external interface "MeshCore_Dynamic_Interface.py" from "/home/afi/.reticulum/interfaces"
INFO:meshcore:Serial Connection started
[2026-09-12 12:45:22] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Connected to MeshCore device (serial port=/dev/ttyUSB0 baudrate=115200).
[2026-09-12 12:45:22] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Node identity: 'b' key=7bd024b5d082747e... [router]
[2026-09-12 12:45:22] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: No radio override configured -- using the node's currently stored radio settings.
[2026-09-12 12:45:22] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Channel configured: idx=35 name='RNSTunnel'.
[2026-09-12 12:45:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Initial contact fetch OK (9 contact(s) known).
[2026-09-12 12:45:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Contact-update events bound: NEW_CONTACT, CONTACTS, CONTACTS_FULL, PATH_UPDATE, ADVERTISEMENT.
[2026-09-12 12:45:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: DIRECT messaging ENABLED (receive event=CONTACT_MSG_RECV).
[2026-09-12 12:45:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Direct and channel outgoing worker tasks started (independent queues, maxsize=512 each).
[2026-09-12 12:45:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: Interface ready -- transport=serial can_route=True allow_direct=True direct_api=True payload_size=64 peer_ttl=86400s auto_reconnect=True(3 attempts) debug_logs=True.
[2026-09-12 12:45:23] [Notice]   Started rnsd version 1.4.2
[2026-09-12 12:45:28] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: No peers — sending RNSBIND_REQ (attempt 1/3, cap=R)
[2026-09-12 12:46:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=60s -- TX: 0B total, 0bps (10s avg), peak 0 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 12:46:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
[2026-09-12 12:46:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] RNS-level TX latency (queue-to-delivered, n=0): avg=0ms min=0ms max=0ms -- MeshCore-level DIRECT send+ACK RTT (n=0): avg=0ms min=0ms max=0ms -- per-link: no direct ACKs yet
[2026-09-12 12:46:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] peer hops: none known -- local mesh utilization: not yet available
[2026-09-12 12:46:28] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: No peers — sending RNSBIND_REQ (attempt 2/3, cap=R)
[2026-09-12 12:47:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] uptime=120s -- TX: 0B total, 0bps (10s avg), peak 0 frag/s -- RX: 0B total, 0bps (10s avg), peak 0 frag/s -- flood sends (last 60s): 0
[2026-09-12 12:47:23] [Info]     MeshCore_Dynamic_Interface [MeshCore Dynamic Interface]: [STATS] direct sends: 0 total, 0 failed (0.0%) -- per-link failure rate: no direct sends yet
